Value,Name,Stack Size,Effect,Locations,"","","","","","",Drop Restrictions
116.26,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Immortal"",  ""The Immortal"")",10,"=HYPERLINK(""https://pathofexile.gamepedia.com/House_of_Mirrors"",  ""House of Mirrors"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Hall_of_Grandmasters_(Betrayal)"",  ""The Hall of Grandmasters"")","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Incantation"",  ""The Incantation"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Whispering_Ice"",  ""The Whispering Ice"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Western_Forest_(Act_6)"",  ""The Western Forest (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Burial_Chambers_Map_(Betrayal)"",  ""Burial Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Spider_Forest_Map_(Betrayal)"",  ""Spider Forest Map"")","","","","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Innocent"",  ""The Innocent"")",10,"=HYPERLINK(""https://pathofexile.gamepedia.com/Orb_of_Regret"",  ""40x Orb of Regret"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Basilica_Map_(Betrayal)"",  ""Basilica Map"")","","","","","","",N/A
0.49,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Inoculated"",  ""The Inoculated"")",4,"=HYPERLINK("""",  ""Seraphim's Armour"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Acid_Lakes_Map_(Betrayal)"",  ""Acid Lakes Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Primordial_Pool_Map_(Betrayal)"",  ""Primordial Pool Map"")","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Insatiable"",  ""The Insatiable"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harvest"",  ""The HarvestCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Rotting_Core"",  ""The Rotting Core"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Carcass_Map_(Betrayal)"",  ""Carcass Map"")","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Inventor"",  ""The Inventor"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Orb"",  ""10x Vaal Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Temple_of_Decay_Level_1"",  ""The Temple of Decay Level 1"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Temple_of_Decay_Level_2"",  ""The Temple of Decay Level 2"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maze_Map_(Betrayal)"",  ""Maze Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Pyramid_Map_(Betrayal)"",  ""Vaal Pyramid Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Temple_Map_(Betrayal)"",  ""Vaal Temple Map"")","","",N/A
59.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Iron_Bard"",  ""The Iron Bard"")",9,"=HYPERLINK("""",  ""Trash to Treasure"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Vinktar_Square_(Betrayal)"",  ""The Vinktar Square"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Jester"",  ""The Jester"")",9,"=HYPERLINK("""",  ""Merciless One-Hand WeaponItem Level: 100"")","","","","","","","",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Jeweller%27s_Boon"",  ""The Jeweller's Boon"")",5,"=HYPERLINK("""",  ""The Jeweller's Touch"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Crystal_Ore_Map_(Betrayal)"",  ""Crystal Ore Map"")","","","","","","",N/A
0.42,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_King%27s_Blade"",  ""The King's Blade"")",5,"=HYPERLINK("""",  ""Bloodthirsty Eternal SwordItem Level: 66"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Daresso%27s_Dream"",  ""Daresso's Dream"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pit_Map_(Betrayal)"",  ""Pit Map"")","","","","","",N/A
22.28,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_King%27s_Heart"",  ""The King's Heart"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Kaom%27s_Heart"",  ""Kaom's Heart"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Coast_(Act_6)"",  ""The Coast (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Caldera_Map_(Betrayal)"",  ""Caldera Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Volcano_Map_(Betrayal)"",  ""Volcano Map"")","","","","",N/A
6.47,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Last_One_Standing"",  ""The Last One Standing"")",10,"=HYPERLINK(""https://pathofexile.gamepedia.com/Atziri%27s_Disfavour"",  ""Atziri's Disfavour"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Hall_of_Grandmasters_(Betrayal)"",  ""The Hall of Grandmasters"")","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lich"",  ""The Lich"")",12,"=HYPERLINK(""https://pathofexile.gamepedia.com/Midnight_Bargain"",  ""Midnight BargainCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Upper_Prison"",  ""The Upper Prison"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bone_Crypt_Map_(Betrayal)"",  ""Bone Crypt Map"")","","","","","","Sawbones, Xixic, High Necromancer"
"","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Life_Thief"",  ""The Life Thief"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Zerphi%27s_Last_Breath"",  ""Zerphi's Last Breath"")","","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lion"",  ""The Lion"")",5,"=HYPERLINK("""",  ""Lioneye Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Gorge_Map_(Betrayal)"",  ""Gorge Map"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lord_in_Black"",  ""The Lord in Black"")",6,"=HYPERLINK("""",  ""Ring of BamethItem Level: 83"")","","","","","","","","The Lord in Black can drop from Bameth, Shifting Darkness."
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lover"",  ""The Lover"")",2,"=HYPERLINK("""",  ""JewelleryItem Level: 79"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maelstr%C3%B6m_of_Chaos_(Betrayal)"",  ""Maelström of Chaos"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mineral_Pools_Map_(Betrayal)"",  ""Mineral Pools Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")","","","","",N/A
0.42,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lunaris_Priestess"",  ""The Lunaris Priestess"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Sire_of_Shards"",  ""Sire of Shards"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lunaris_Temple_Level_2_(Act_8)"",  ""The Lunaris Temple Level 2 (Act 8)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shrine_Map_(Betrayal)"",  ""Shrine Map"")","","","","","",N/A
8.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Master"",  ""The Master"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Bisco%27s_Collar"",  ""Bisco's Collar"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pen_Map_(Betrayal)"",  ""Pen Map"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Master_Artisan"",  ""The Master Artisan"")",5,"=HYPERLINK("""",  ""20x Quality Currency"")","","","","","","","",N/A
42.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mayor"",  ""The Mayor"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Perandus_Manor_(War_for_the_Atlas)"",  ""The Perandus Manor"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ivory_Temple_Map_(Betrayal)"",  ""Ivory Temple Map"")","","","","","","",Can also drop from Armourer's Strongboxes.
0.98,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mercenary"",  ""The Mercenary"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""ShieldCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Broken_Bridge_(Act_7)"",  ""The Broken Bridge (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Castle_Ruins_Map_(Betrayal)"",  ""Castle Ruins Map"")","","","","","",N/A
0.41,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Metalsmith%27s_Gift"",  ""The Metalsmith's Gift"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Prismatic_Ring"",  ""Prismatic Ring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mud_Flats_(Act_1)"",  ""The Mud Flats (Act 1)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fetid_Pool"",  ""The Fetid Pool"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mud_Flats_(Act_6)"",  ""The Mud Flats (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Karui_Fortress"",  ""The Karui Fortress"")","","","",N/A
114.21,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Nurse"",  ""The Nurse"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Doctor"",  ""The Doctor"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shavronne%27s_Tower"",  ""Shavronne's Tower"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tower_Map_(Betrayal)"",  ""Tower Map"")","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Oath"",  ""The Oath"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Death%27s_Oath"",  ""Death's Oath"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_(Act_9)"",  ""The Belly of the Beast (Act 9)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Carcass_Map_(Betrayal)"",  ""Carcass Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Core_Map_(Betrayal)"",  ""Core Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Malformation_Map_(Betrayal)"",  ""Malformation Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Phantasmagoria_Map_(Betrayal)"",  ""Phantasmagoria Map"")","","",N/A
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Obscured"",  ""The Obscured"")",7,"=HYPERLINK("""",  ""Breachstone"")","","","","","","","",N/A
9.57,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Offering"",  ""The Offering"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Shavronne%27s_Wrappings"",  ""Shavronne's Wrappings"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Rotting_Core"",  ""The Rotting Core"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Core_Map_(Betrayal)"",  ""Core Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Scriptorium_Map_(Betrayal)"",  ""Scriptorium Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tower_Map_(Betrayal)"",  ""Tower Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tribunal_Map_(Betrayal)"",  ""Tribunal Map"")","","",Drops from Shavronne of Umbra and her map boss variants.
0.96,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_One_With_All"",  ""The One With All"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Le_Heup_of_All"",  ""Le Heup of AllCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tidal_Island_(Act_6)"",  ""The Tidal Island (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Oba%27s_Cursed_Trove_(Betrayal)"",  ""Oba's Cursed Trove"")","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Opulent"",  ""The Opulent"")",5,"=HYPERLINK("""",  ""RingItem Level: 100"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Chateau_Map_(Betrayal)"",  ""Chateau Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Conservatory_Map_(Betrayal)"",  ""Conservatory Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Crimson_Temple_Map_(Betrayal)"",  ""Crimson Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ivory_Temple_Map_(Betrayal)"",  ""Ivory Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Laboratory_Map_(Betrayal)"",  ""Laboratory Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Relic_Chambers_Map_(Betrayal)"",  ""Relic Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Residence_Map_(Betrayal)"",  ""Residence Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaults_of_Atziri_(Betrayal)"",  ""Vaults of Atziri"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vault_Map_(Betrayal)"",  ""Vault Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Villa_Map_(Betrayal)"",  ""Villa Map"")",N/A
0.53,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Pack_Leader"",  ""The Pack Leader"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Alpha%27s_Howl"",  ""Alpha's Howl"")","","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Pact"",  ""The Pact"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Pledge_of_Hands"",  ""Pledge of Hands"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Quay"",  ""The Quay"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Penitent"",  ""The Penitent"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Unset_Ring"",  ""Unset Ring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cells_Map_(Betrayal)"",  ""Cells Map"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Poet"",  ""The Poet"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Blood_of_Corruption"",  ""Blood of CorruptionCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Marketplace"",  ""The Marketplace"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Quay"",  ""The Quay"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arcade_Map_(Betrayal)"",  ""Arcade Map"")","","","","",N/A
6.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Polymath"",  ""The Polymath"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Astramentis"",  ""Astramentis"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Reliquary_(Act_5)"",  ""The Reliquary (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Reliquary_(Act_10)"",  ""The Reliquary (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Relic_Chambers_Map_(Betrayal)"",  ""Relic Chambers Map"")","","","","",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Porcupine"",  ""The Porcupine"")",6,"=HYPERLINK("""",  ""Six-Link Short BowItem Level: 50"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_High_Gardens"",  ""The High Gardens"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Gardens_Map_(Betrayal)"",  ""Gardens Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Plaza_Map_(Betrayal)"",  ""Plaza Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Terrace_Map_(Betrayal)"",  ""Terrace Map"")","","","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Price_of_Protection"",  ""The Price of Protection"")",5,"=HYPERLINK("""",  ""Elder Chateau MapMap Tier: 16"")","","","","","","","",Can only drop from Invasion bosses.
7.57,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Professor"",  ""The Professor"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Putrid_Cloister_(War_for_the_Atlas)"",  ""The Putrid Cloister"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Laboratory_Map_(Betrayal)"",  ""Laboratory Map"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Puzzle"",  ""The Puzzle"")",5,"=HYPERLINK("""",  ""5x Breachstone Splinter"")","","","","","","","",The Puzzle can drop from Beyond demons.
50.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Queen"",  ""The Queen"")",16,"=HYPERLINK(""https://pathofexile.gamepedia.com/Atziri%27s_Acuity"",  ""Atziri's Acuity"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaults_of_Atziri_(Betrayal)"",  ""Vaults of Atziri"")","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Rabid_Rhoa"",  ""The Rabid Rhoa"")",4,"=HYPERLINK("""",  ""Malicious Gemini ClawItem Level: 83"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arid_Lake_Map_(pre_2.0)"",  ""Arid Lake Map (pre 2.0)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arid_Lake_Map_(Betrayal)"",  ""Arid Lake Map"")","","","","","",The Rabid Rhoa can only drop from Drought-Maddened Rhoa.
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Realm"",  ""The Realm"")",5,"=HYPERLINK("""",  ""Superior Portal"")","","","","","","","",Breach
30.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Risk"",  ""The Risk"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Ventor%27s_Gamble"",  ""Ventor's Gamble"")","","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Rite_of_Elements"",  ""The Rite of Elements"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Level 21 Golem GemCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Courthouse_Map_(Betrayal)"",  ""Courthouse Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Coves_Map_(Betrayal)"",  ""Coves Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Flooded_Mine_Map_(Betrayal)"",  ""Flooded Mine Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Grotto_Map_(Betrayal)"",  ""Grotto Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vault_Map_(Betrayal)"",  ""Vault Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Waterways_Map_(Betrayal)"",  ""Waterways Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Wharf_Map_(Betrayal)"",  ""Wharf Map"")",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Road_to_Power"",  ""The Road to Power"")",7,"=HYPERLINK("""",  ""Runic One-Hand WeaponItem Level: 100"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Castle_Ruins_Map_(Betrayal)"",  ""Castle Ruins Map"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ruthless_Ceinture"",  ""The Ruthless Ceinture"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Meginord%27s_Girdle"",  ""Meginord's GirdleCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Descent"",  ""The Descent"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Foothills"",  ""The Foothills"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dig_Map_(Betrayal)"",  ""Dig Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maze_of_the_Minotaur_Map_(Betrayal)"",  ""Maze of the Minotaur Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Summit_Map_(Betrayal)"",  ""Summit Map"")","","",N/A
6.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sacrifice"",  ""The Sacrifice"")",4,"=HYPERLINK("""",  ""Six-Link Sacrificial GarbItem Level: 100"")","","","","","","","",N/A
20.83,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Saint%27s_Treasure"",  ""The Saint's Treasure"")",10,"=HYPERLINK(""https://pathofexile.gamepedia.com/Exalted_Orb"",  ""2x Exalted Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Slums"",  ""The Slums"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Marketplace"",  ""The Marketplace"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Imperial_Fields"",  ""The Imperial Fields"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grain_Gate"",  ""The Grain Gate"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arcade_Map_(Betrayal)"",  ""Arcade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arsenal_Map_(Betrayal)"",  ""Arsenal Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bazaar_Map_(Betrayal)"",  ""Bazaar Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Precinct_Map_(Betrayal)"",  ""Precinct Map"")",N/A
67.16,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Samurai%27s_Eye"",  ""The Samurai's Eye"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Watcher%27s_Eye"",  ""Watcher's Eye"")","","","","","","","",This item can be acquired from an Abyssal Lich in the Abyssal Depths.
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Scarred_Meadow"",  ""The Scarred Meadow"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Wake_of_Destruction"",  ""Wake of Destruction"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Old_Fields"",  ""The Old Fields"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ashen_Wood_Map_(Betrayal)"",  ""Ashen Wood Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Fields_Map_(Betrayal)"",  ""Fields Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Peninsula_Map_(Betrayal)"",  ""Peninsula Map"")","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Scavenger"",  ""The Scavenger"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Carcass_Jack"",  ""Carcass Jack"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Aqueduct"",  ""The Aqueduct"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Channel_Map_(Betrayal)"",  ""Channel Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ghetto_Map_(Betrayal)"",  ""Ghetto Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_River_Map_(Betrayal)"",  ""Underground River Map"")","","","","The Hundred Foot Shadow, The Winged Death, Hephaeus, The Hammer, It That Fell"
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Scholar"",  ""The Scholar"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Scroll_of_Wisdom"",  ""40x Scroll of Wisdom"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Library"",  ""The Library"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Archives"",  ""The Archives"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Academy_Map_(Betrayal)"",  ""Academy Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Museum_Map_(Betrayal)"",  ""Museum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Scriptorium_Map_(Betrayal)"",  ""Scriptorium Map"")","","",N/A
7.8,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sephirot"",  ""The Sephirot"")",11,"=HYPERLINK(""https://pathofexile.gamepedia.com/Divine_Orb"",  ""10x Divine Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Upper_Sceptre_of_God"",  ""The Upper Sceptre of God"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Palace_Map_(Betrayal)"",  ""Palace Map"")","","","","","",Dominus or corresponding bosses
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sigil"",  ""The Sigil"")",3,"=HYPERLINK("""",  ""Unassailable Amulet"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Shrine_Map_(Betrayal)"",  ""Overgrown Shrine Map"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Siren"",  ""The Siren"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Whispering_Ice"",  ""The Whispering IceCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cavern_of_Anger_(Act_6)"",  ""The Cavern of Anger (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Brine_King%27s_Reef"",  ""The Brine King's Reef"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maelstr%C3%B6m_of_Chaos_(Betrayal)"",  ""Maelström of Chaos"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Soul"",  ""The Soul"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Soul_Taker"",  ""Soul Taker"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Shrine_Map_(Betrayal)"",  ""Overgrown Shrine Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sepulchre_Map_(Betrayal)"",  ""Sepulchre Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tribunal_Map_(Betrayal)"",  ""Tribunal Map"")","","","","",N/A
70.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Spark_and_the_Flame"",  ""The Spark and the Flame"")",2,"=HYPERLINK(""https://pathofexile.gamepedia.com/Berek%27s_Respite"",  ""Berek's Respite"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Atoll_Map_(Betrayal)"",  ""Atoll Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maelstr%C3%B6m_of_Chaos_(Betrayal)"",  ""Maelström of Chaos"")","","","","","",N/A
0.71,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Spoiled_Prince"",  ""The Spoiled Prince"")",4,"=HYPERLINK("""",  ""Dictator's Prophecy WandItem Level: 100"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Pyramid_Map_(Betrayal)"",  ""Vaal Pyramid Map"")","","","","","","",N/A
